cart_id,user_id,product_id,selected_options,quantity,created_at,updated_at
bac94d47-2475-4027-baca-d9f6b7d57ca2,T1A002238,foo-kor-00000001-1950,"{'매운맛 조절': '맵지 않게', '밥 추가': '밥 두 그릇 추가', '분량': '일반'}",2,tmp,tmp
31031c72-65a3-4248-80fa-792f9744ef08,T1A002194,foo-kor-00000002-1950,"{'매운맛 조절': '보통 매운맛', '밥 추가': '밥 추가', '주 재료 선택': '채식 (버섯/두부)'}",2,tmp,tmp
7ac0bccf-254b-4968-b883-56bd0a20a0e8,T1A001989,foo-kor-00000003-1950,"{'매운맛 조절': '맵지 않게', '밥 추가': '밥 추가', '추가 재료': '떡 추가'}",4,tmp,tmp
e5ee3b33-97be-4cc6-bbd0-303c2ff0165f,T1A004076,foo-kor-00000004-1950,"{'매운맛 조절': '맵지 않게', '밥 추가': '밥 두 그릇 추가', '국물 선택': '진한 국물'}",3,tmp,tmp
c092eece-bf90-47dc-a519-d82a327f24cd,T1A001415,foo-kor-00000005-1950,"{'매운맛 조절': '매우 매운맛', '밥 추가': '밥 두 그릇 추가', '기본 반찬 추가': '김치 추가'}",2,tmp,tmp
21e06423-1241-4fbc-a6f3-15fe14d2ae3f,T1A002062,foo-kor-00000006-1950,"{'매운맛 조절': '보통 매운맛', '밥 추가': '밥 추가', '서비스 옵션': '매운 소스 팩'}",5,tmp,tmp
80fcc181-5fba-45df-8a74-ae47ba1e6bbf,T1A003564,foo-kor-00000007-1950,"{'매운맛 조절': '보통 매운맛', '분량': '일반', '주 재료 선택': '채식 (버섯/두부)'}",4,tmp,tmp
1f8ef55f-d220-48ce-b456-394cceb7079f,B1A002721,foo-kor-00000008-1950,"{'매운맛 조절': '보통 매운맛', '분량': '일반', '추가 재료': '떡 추가'}",5,tmp,tmp
6a9ab325-1447-4467-a4c1-9637b6e66f51,T1A001028,foo-kor-00000009-1950,"{'매운맛 조절': '맵지 않게', '분량': '일반', '국물 선택': '맑은 국물'}",2,tmp,tmp
c1242164-cfad-45ec-8e85-33c3c30470b2,T1A002521,foo-kor-00000010-1950,"{'매운맛 조절': '매우 매운맛', '분량': '일반', '기본 반찬 추가': '계란말이 추가'}",4,tmp,tmp
e490851f-ffe2-49ee-a208-2ab20e2de600,T1A003147,foo-kor-00000011-1950,"{'매운맛 조절': '보통 매운맛', '분량': '곱배기', '서비스 옵션': '김치 소스 팩'}",3,tmp,tmp
176d5013-de9f-436b-92e8-5a95064e221a,B1A003479,foo-kor-00000012-1950,"{'매운맛 조절': '맵지 않게', '주 재료 선택': '채식 (버섯/두부)', '추가 재료': '계란 추가'}",1,tmp,tmp
020e2a38-eebb-48b3-ba88-af2659900f25,T1A002674,foo-kor-00000013-1950,"{'매운맛 조절': '맵지 않게', '주 재료 선택': '닭고기', '국물 선택': '진한 국물'}",4,tmp,tmp
